正森木业（天津）有限公司,外资（非欧美）,50-150人,原材料和加工,贸易/进出口,天津经济技术开发区出口加工区海青街10号,
香港瑞创亚洲有限公司深圳代表处,外企代表处,少于50人,电子技术/半导体/集成电路,电子技术/半导体/集成电路,福田区金田路4018号安联大厦6楼A03-A05室,
陕西乐学教育科技文化有限公司,民营公司,50-150人,教育/培训/院校,,西安高新区九座花园,
北京杰西卡制衣有限责任公司,,,服装/纺织/皮革,,0,
青岛顺联商贸有限公司,民营公司,500-1000人,通信/电信运营、增值服务,批发/零售,总公司城阳区正阳路325号天一广场,
成都市新津水城水务投资有限责任公司,,少于50人,电气/电力/水利,,成都新津,
郑州太平洋印务有限公司,,,印刷/包装/造纸,,0,
新华人寿保险股份有限公司天津分公司,国企,500-1000人,保险,,天津市河西区永安道221号罗马商务中心20层,
武汉观其广告有限公司,民营公司,少于50人,广告,广告,武汉京汉大道三阳广场B座806,
北京华房盛歌文化发展有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,房地产,海淀区清华大学东门外学研大厦B310室,
上海邑丰通信科技有限公司,民营公司,50-150人,通信/电信运营、增值服务,电子技术/半导体/集成电路,徐汇区田林路192号怡虹科技园,
上海左中右贸易有限公司,,少于50人,贸易/进出口,,0,
深圳市晨洋通信产品有限公司,民营公司,50-150人,通信/电信/网络设备,通信/电信运营、增值服务,深圳市光明新区楼村鲤鱼河工业区红银路29号飞黄达高新科技园二楼东区,
上海蕴森实业有限公司,民营公司,50-150人,房地产,批发/零售,上海市闵行区吴中路686弄2号E座17楼,
武汉宜利通照明电力工程有限公司,民营公司,50-150人,电子技术/半导体/集成电路,,0,
湖南彩练科技发展有限公司,民营公司,少于50人,电子技术/半导体/集成电路,,韶山北路460号兴威名座北栋28楼2508,
济南鲁扩商贸有限责任公司,民营公司,50-150人,贸易/进出口,快速消费品(食品、饮料、化妆品),总公司：济南市历下区转山西路7号银座花园32号楼4单元702室,
北京伟迪捷工业设备有限公司,,,机械/设备/重工,,,
深圳市蓝图方案软件有限公司,,,计算机软件,计算机硬件,0,
重庆渝高物业管理有限责任公司,国企,1000-5000人,物业管理/商业中心,物业管理/商业中心,北部新区高新园白杨路40号总部基地A2栋301室,
,,,,,,
东莞市钧安五金塑胶制品有限公司,,,批发/零售,,0,
,,,,,,
上海伟策企业管理咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),教育/培训/院校,上海市宝城路158弄上海莘城111号202室,
成都智聘网络信息技术有限公司,,50-150人,教育/培训/院校,专业服务(咨询、人力资源、财会),四川省成都市国栋中央商务大厦10楼B座,
广州勇冠贸易有限公司,民营公司,50-150人,计算机硬件,批发/零售,越秀区中山六路200号惠爱大厦1904室,
广州富瀛投资有限公司,国企,150-500人,生活服务,金融/投资/证券,广州市天河北路705号东方之珠D栋503(光大银行东侧),
大连沐林装饰工程有限公司,民营公司,少于50人,家居/室内设计/装潢,建筑/建材/工程,西岗区长春街16号1单元301室,
珠海市宝华网络科技有限公司,,少于50人,互联网/电子商务,娱乐/休闲/体育,珠海市湾仔鸿景花园5栋22楼B座,
东莞庄士房地产开发有限公司,外资（非欧美）,50-150人,房地产,房地产,东莞市沙田镇庄士路八号庄士新都行政中心,
某知名美国公司,,,贸易/进出口,,,
陕西汉典广告有限公司,,少于50人,广告,广告,西安市长安南路449号丽融大厦（政法学院对面）1503室（联系地址）,
中钢国际货运辽宁有限责任公司,国企,少于50人,交通/运输/物流,,大连市中山区人民路87号安和大厦27层,
山东长安汽车销售有限公司,民营公司,50-150人,汽车及零配件,,济齐路267号,
某医药投资集团,,,制药/生物工程,,,
深圳慈铭公司,,500-1000人,医疗/护理/卫生,,深圳市福田区车公庙泰然九路海松大厦A座二层,
某德国独资的全球化学品公司,,,石油/化工/矿产/地质,,,
广东罗定金业冶炼厂有限公司广州分公司,民营公司,50-150人,采掘业/冶炼,金融/投资/证券,广州中山六路238号越秀新都会大厦东座15A10（西门口D出口上盖）,
郑州骄扬投资信息咨询有限公司,,,金融/投资/证券,,郑州未来路纬五路交叉口未来花园F座1单元2503室,
